Store Name,Description,Department,Qty Sold,Cost,Retail,Total Retail,Margin,Profit
LITTLETON   LLC,CELSIUS ARCTIC VIBE 12/12 OZ,BEVERAGE : STANDARD,35,1.52,2.99,104.65,49.14,51.42
Zuni   LLC,J. LINK BEEF&CHSE JALAPEN,JERKY,35,1.20,2.19,69.85,45.21,34.65
Zuni   LLC,PABST BLUE  RIBBON BEER 24 OZ,BEER,35,1.92,2.99,104.65,35.90,37.57
Zuni   LLC,WILEY WALLABY BLASTED BER,CANDY : BOX & PEG,35,2.13,4.79,167.65,55.55,93.13
Zuni   LLC,CHEEZ-IT HOT & SPICY 3/OZ,SALTY SNACKS,35,1.24,2.79,97.65,55.56,54.25
Zuni   LLC,HOT TIPS USB TO USB - C CHARGER ,COUNTER DISPLAY,35,1.50,9.99,349.65,84.98,297.15
Zuni   LLC,HOT TIPS USB TO LIGHTENING CHARGER,COUNTER DISPLAY,35,6.46,9.99,369.63,35.35,123.61
Zuni   LLC,PALLSAV BLUE 85 BOX,CIGARETTES,35,9.65,10.33,358.82,6.56,23.73
Zuni   LLC,REESES WHITE KING,CANDY : BARS,35,1.75,3.29,115.15,46.83,53.92
Zuni   LLC,REESES PNT BTR CUP SUPER,CANDY : BOX & PEG,35,2.47,4.29,150.15,42.33,63.56
Zuni   LLC,SOUR JACKS BLUE RASP. SOU,CANDY : BOX & PEG,35,1.31,2.99,104.65,56.05,58.66
Zuni   LLC,BON APPETIT STRAW-CHSE DO,BAKERY & PASTRY,35,1.87,3.19,111.65,41.42,46.25
Zuni   LLC,DEX TURK/CHEESE WHEAT WED,REFRIGERATED,35,2.84,4.69,164.15,39.42,64.72
Zuni   LLC,STRING CHEESE 1/OZ SARGEN,REFRIGERATED,35,0.46,0.89,31.15,48.74,15.18
Zuni   LLC,DUNKIN DONUTS ORIGINAL 13.7 OZ,BEVERAGE : STANDARD,35,2.27,3.69,129.15,38.53,49.76
Zuni   LLC,B.B. VANILLA BEAN 14OZ,ICE CREAM,35,2.32,4.29,150.15,45.92,68.95
Zuni   LLC,S008 BAREFOOT P GRIGIO 750 ML,LIQUOR,35,5.25,9.99,349.65,47.45,165.90
Zuni   LLC,ZYN MENTHOL 3MG,POUCH,35,6.65,8.99,314.65,26.03,81.90
Zuni   LLC,RED BULL CARUBA ELDER FLOWER 8.4 OZ,BEVERAGE : STANDARD,35,1.53,3.29,115.15,53.46,61.56
